R0uta,Afro House,Ambient,Deep House,Pop/Dance,Techno,Trance,Progressive House,RMS,Tiempo Inicio,Tiempo Fin,ZCR,Mean Absolute Amplitude,Crest Factor,Standard Deviation of Amplitude,Spectral Centroid,Spectral Bandwidth,Spectral Roll-off,Spectral Flux,VAD,Spectral Variation,Tempo
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_0.png,0,0,0,0,0,0,1,0.09526007,0:00,0:05,0.27392578125,0.07706553,5.22488,0.10320077,2724.6777824631235,2420.1794225602275,4861.008193155452,1.018752,1,0.68343383,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_1.png,0,0,0,0,0,0,1,0.15228282,0:05,0:10,0.0146484375,0.12423893,7.2709994,0.16483895,2104.1934592429275,2488.9163056179373,4236.395419446056,1.0054026,1,1.4558346,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_2.png,0,0,0,0,0,0,1,0.20533773,0:10,0:15,0.02392578125,0.164502,5.8683543,0.21321304,2415.6179789141243,2719.473932535448,4778.4725746809745,1.0767372,1,2.0590656,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_3.png,0,0,0,0,0,0,1,0.17114505,0:15,0:20,0.01904296875,0.13739982,6.443517,0.17540367,2317.94235728579,2728.6622986335724,4701.932279582366,1.0517071,1,1.5106226,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_4.png,0,0,0,0,0,0,1,0.23646101,0:20,0:25,0.017578125,0.18958034,4.806126,0.24344462,2874.259969270974,3254.750960522736,6155.59835411833,1.0138776,1,2.2612128,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_5.png,0,0,0,0,0,0,1,0.2155453,0:25,0:30,0.01953125,0.17266913,5.6666746,0.22065982,3250.5480793282613,3430.0727927931066,6675.892501087587,1.0222467,1,2.2131972,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_6.png,0,0,0,0,0,0,1,0.23069261,0:30,0:35,0.0302734375,0.18711081,5.434734,0.23617278,3142.6947052097976,3543.2343970563147,6564.979018633991,1.0904233,1,2.200258,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_7.png,0,0,0,0,0,0,1,0.24820574,0:35,0:40,0.03759765625,0.20027432,5.311231,0.25528502,3381.2006282008256,3684.100633087581,7137.132712804524,1.0565013,1,2.4157467,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_8.png,0,0,0,0,0,0,1,0.28376117,0:40,0:45,0.017578125,0.23205301,4.3587203,0.2902642,3032.79828623252,3489.6640692805686,6350.246519721578,1.1033143,1,2.5138328,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_9.png,0,0,0,0,0,0,1,0.27755892,0:45,0:50,0.0224609375,0.2272807,4.289292,0.28712127,3360.060239436381,3664.1458563386764,7081.2762833526685,1.1003869,1,2.5576537,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_10.png,0,0,0,0,0,0,1,0.28376362,0:50,0:55,0.01953125,0.23083742,4.967228,0.28794557,3622.414210967279,3839.4672465328426,7842.682352088167,1.0484676,1,2.5883222,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_11.png,0,0,0,0,0,0,1,0.2509809,0:55,1:00,0.0302734375,0.20243347,3.8965132,0.25701675,2213.8900324412593,2432.4416499457075,4546.453560034803,1.0700955,1,1.8810167,126.04801829268293
