Ruta,Break,Pre-Drop,Drop,Valencia_0.0,Valencia_0.1,Valencia_0.2,Valencia_0.3,Valencia_0.4,Valencia_0.5,Valencia_0.6,Valencia_0.7,Valencia_0.8,Valencia_0.9,Valencia_1.0,Arousal_0.0,Arousal_0.1,Arousal_0.2,Arousal_0.3,Arousal_0.4,Arousal_0.5,Arousal_0.6,Arousal_0.7,Arousal_0.8,Arousal_0.9,Arousal_1.0,Tiempo Inicio,Tiempo Fin,RMS,ZCR,Mean Absolute Amplitude,Crest Factor,Standard Deviation of Amplitude,Spectral Centroid,Spectral Bandwidth,Spectral Roll-off,Spectral Flux,VAD,Spectral Variation,Tempo
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_0.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:00,0:05,0.15586294,0.126953125,0.1259908,8.687636,0.21715249,7109.677713744464,2850.179478570019,10213.38309799159,0.8516338,1,2.5667918,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_1.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:05,0:10,0.25276613,0.01513671875,0.20393522,5.0597024,0.26596016,3207.492880433946,3023.971868330158,5993.974428110499,1.3047576,1,2.7142394,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_2.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:10,0:15,0.24915546,0.037109375,0.20036937,4.9208837,0.25985563,3342.481377149059,3071.438788972846,6268.310433584687,1.1836962,1,2.5672932,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_3.png,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:15,0:20,0.32435328,0.048828125,0.27087447,3.8149023,0.3543264,3137.456994596856,3223.657910907954,6435.829760912123,1.3824955,1,2.6068008,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_4.png,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:20,0:25,0.42027172,0.00341796875,0.35809305,3.241576,0.4293806,2405.779036267403,3004.57750991387,5229.520736658933,1.5808996,1,2.361153,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_5.png,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:25,0:30,0.41687438,0.0048828125,0.3556018,3.087893,0.42716354,2457.814104474919,3076.490345665552,5419.772331786543,1.4777814,1,2.2936862,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_6.png,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:30,0:35,0.2987424,0.0068359375,0.24738711,5.0704656,0.32975632,3080.686658085645,3117.289025778956,6234.736622679814,1.417576,1,2.56547,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_7.png,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:35,0:40,0.22579882,0.01416015625,0.17945528,6.3066125,0.24785838,3375.15954798492,3042.730746723192,6419.892192937935,1.3512475,1,2.5016532,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_8.png,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:40,0:45,0.27153563,0.0341796875,0.21926406,5.1222425,0.2844188,3370.492713733173,3031.634990640165,6300.435374673724,1.2308517,1,2.8547037,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_9.png,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:45,0:50,0.2723069,0.03515625,0.2202719,5.112029,0.28401023,3409.526657776211,3095.192297424376,6499.530071780742,1.246151,1,2.7760684,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_10.png,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:50,0:55,0.26569012,0.02978515625,0.21410018,4.928179,0.27478638,3446.357347459977,3103.255435950266,6552.588683657193,1.2126462,1,2.670695,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_11.png,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:55,1:00,0.23419136,0.03466796875,0.18630168,5.44796,0.24620719,3706.881625554208,3248.565758467819,7114.999977341938,1.162634,1,2.4212964,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_12.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1:00,1:05,0.3122364,0.06494140625,0.2607988,4.023716,0.3451454,3404.187706038974,3400.023536417101,7080.027257649362,1.2756046,1,2.370155,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_13.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1:05,1:10,0.41960865,0.00537109375,0.3576327,3.4643106,0.4284631,2736.024507729057,3221.212958664813,5933.62150612674,1.4340198,1,2.3682535,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_14.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1:10,1:15,0.41617098,0.0048828125,0.35522723,3.465684,0.42632395,2619.274904805434,3176.319062349168,5701.052920171113,1.4588925,1,2.316447,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_15.png,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:15,1:20,0.42077485,0.0068359375,0.35884017,2.9721584,0.42845008,2457.740056618803,3026.19281209396,5298.466955481438,1.3108484,1,2.346789,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_16.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:20,1:25,0.43183196,0.01806640625,0.36844838,2.657816,0.43842104,1791.365434426878,2583.139261412169,3604.138608432425,1.2038485,1,1.9805865,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_17.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:25,1:30,0.43102843,0.0146484375,0.36706108,2.6259968,0.43765467,1869.915061311893,2659.737618534873,3722.1465568808,1.2204558,1,2.1269858,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_18.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:30,1:35,0.32612535,0.01416015625,0.27288646,3.9126294,0.34737933,2469.20841441559,2838.417454150828,4978.216765153712,1.1714894,1,2.33863,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_19.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:35,1:40,0.22290884,0.00830078125,0.18024033,4.908496,0.24547397,1850.599731801346,1891.586780227398,3485.381244562065,1.2268045,1,1.7265708,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_20.png,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1:40,1:45,0.22536089,0.0361328125,0.18124874,4.8318696,0.24793805,2304.487584516952,2233.539177214869,4320.729634933295,1.3475568,1,1.6870751,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_21.png,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1:45,1:50,0.25453928,0.029296875,0.2053416,5.2573266,0.2716227,3185.431050363457,2923.029396615133,6081.506149398202,1.2321026,1,2.5373313,129.19921875
